audio_filepath,ref,hyp_greedy
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0244_W1-0299.wav,पांचवी,पांचवी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0209_W3A-0717.wav,उबारप,उबारप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0547.wav,फुलप,फुलप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-FullSet-W3B_SP-0001_W3B-0343.wav,गाडी,गाडी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0036_S-0296.wav,एकादशीचो फळार उत्तम आशिल्लो.,एकादशीचो फळार उत्तम आशिल्लो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0070_W1-0248.wav,अंयशीं,अंयशीं
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0176_W1-0081.wav,दिवचें,दिवचें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0433.wav,इतिहास,इतिहास
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0060_S-0112.wav,अंतःकरणातल्यान मेंळ्ळी जाप.,अंतकरणातल्यान मेंळ्ळ्ळी जाप.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0120_W2-0183.wav,जनार्दन प्रसाद सिंह,जनार्दन प्रसाद सिंह
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-Part-W3A_SP-0074_W3A-0374.wav,यो,यो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0197_W1-0007.wav,वच्चें न्हय,वच्चें न्हय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Command and Control Words-W1_SP-0020_W1-0057.wav,चल,चल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Form and Function Word-W5_SP-0155_W5-0295.wav,पुणून,पुणून
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Command and Control Words-W1_SP-0340_W1-0216.wav,अठ्ठेचाळीस,अठ्ठेचाळीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0052_S-0318.wav,वैभवाक पेंवपाक राष्ट्रीय पुरस्कार फावो जाला.,वैभवाक पेंवपाक राष्ट्रीय पुरस्कार फावो जाला.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0158_W5-0231.wav,वेर,वेर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Form and Function Word-W5_SP-0044_W5-0210.wav,परमणें,परमणें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0115_W1-0320.wav,दोन पस्तीस,दोन पस्तीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-FullSet-W3B_SP-0150_W3B-0917.wav,खाण,खाण
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-FullSet-W3B_SP-0150_W3B-0215.wav,सदां,सदां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0402_S-0203.wav,रामाचें अपघाती मरण जाला हें कळ्ळें तेंन्ना वायट दिसलें.,रामाचें अपपघाती मरण जाला हें कळ्ळें तेंन्ना वायट दिसलें.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0647.wav,लेखक,लेखक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0307_W1-0086.wav,पियात,पियात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0025_S-0252.wav,दुकानदराकडेन आशिल्ली थकबाकी दिवन रमेश गांव सोडून गेलो.,दुकानदराकडेन आशिल्ली थकबाकी दिवन रमेश गांव सोडून गेलो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0387_W2-0920.wav,यशवंतपुर,यशवंतपुर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0346_S-0132.wav,खरें भांगर खंयचे हाची पारख फकत सोनारच करपाक शकता.,खरें भांगर खंयचे हाची पारख फकत सोनारच करपाक शकता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0067_W1-0316.wav,दोन जावन धा मिन्टां,दोन जावन धा मिन्टां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0447_S-0142.wav,आयज वचत थंय म्हारगाय वाडल्या.,आयज वचत थंय म्हारगाय वाडल्या.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Place Name-W2_SP-0445_W2-1085.wav,डोंगरी,डोंगरी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Person Name-W2_SP-0258_W2-0091.wav,कमल हासन,कमल हासन
